caseId,expectedStatus,email,password
P01,200,test@mail.com,123456
P02,200,test@mail.com,123456
P03,200,test@mail.com,123456
P04,200,test@mail.com,123456
P05,200,test@mail.com,123456
P06,200,test@mail.com,123456
P07,200,test@mail.com,123456
P08,200,test@mail.com,123456
P09,200,test@mail.com,123456
P10,200,test@mail.com,123456
F01,400,,123456
F02,400,test@mail.com,
F03,400,abc,123456
F04,400,test@mail,123456
F05,400,test@mail.com,1
F06,400,,123456
F07,400,test@mail.com,
F08,401,wrong@mail.com,123456
F09,401,test@mail.com,wrongpass
F10,401,hello@world.com,abcdef
